time_bin,time_utc,signal_window,horizon,n_days,momentum_ls_mean,momentum_ls_tstat,momentum_ls_p_value,mean_daily_ic,daily_ic_tstat,daily_ic_p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,momentum_ls_q_value,daily_ic_q_value
1200,20:00,5,5,2464,-0.00026769585671886206,-11.277823685528164,1.6887203876673605e-29,-0.17759304335714352,-15.31068486664868,6.487717381685654e-53,2023-07-03 00:00:00+00:00,1724,-0.0003060815450246626,-10.50306785588879,740,-0.00017826757747669962,-4.423505382644089,1.827195459456084e-26,1.4039420413967756e-50
1260,21:00,15,120,2459,-0.0005668472600154946,-10.88358718479681,1.3802218262917685e-27,-0.21667744855453516,-17.322557776399655,3.1790777020943686e-67,2023-07-03 00:00:00+00:00,1721,-0.000592858056945034,-10.689102133850694,738,-0.0005061906454955253,-4.373599384014755,7.467000080238467e-25,1.7198810368330534e-64
1200,20:00,15,5,2464,-0.00023300302486389793,-10.404621987884791,2.361916417460702e-25,-0.15214969102958284,-13.205479798354906,8.157825589665264e-40,2023-07-03 00:00:00+00:00,1724,-0.0002840033134653343,-10.627987124037173,740,-0.00011418613628433537,-2.8031020480457425,8.518645212308266e-23,5.516729555011135e-38
1200,20:00,15,15,2464,-0.00033473311914412955,-10.220054046199271,1.6125094997431774e-24,-0.15385227853237296,-13.064890922695987,5.225947968351295e-39,2023-07-03 00:00:00+00:00,1724,-0.00043589160115361185,-11.183106699102032,740,-9.906119619230863e-05,-1.663788132395918,4.361838196805295e-22,2.976039843029527e-37
1260,21:00,15,60,2459,-0.0003985409316554797,-9.759886182617116,1.673429217730539e-22,-0.19936939819705773,-16.223638751120088,3.43243093957276e-59,2023-07-03 00:00:00+00:00,1721,-0.000410519294876213,-9.845579303313643,738,-0.0003706076483182412,-3.8921600364308526,3.6213008271688863e-20,9.284725691544316e-57
1260,21:00,30,120,2459,-0.0005084786035707589,-9.676387088077197,3.799044859126557e-22,-0.22107616247389064,-17.454768278423725,3.1666002455116547e-68,2023-07-03 00:00:00+00:00,1721,-0.0005517055993848707,-10.024537554863969,738,-0.00040767418650289143,-3.4233421098124452,6.850944229291557e-20,3.4262614656436104e-65
1200,20:00,30,5,2464,-0.0002182516501800109,-9.368161866617092,7.380663984819332e-21,-0.1340277145786919,-11.674377040278967,1.7232347022640553e-31,2023-07-03 00:00:00+00:00,1724,-0.00025973019791075556,-9.298430625523673,740,-0.00012161784438568149,-2.893086610087233,1.140839775939217e-18,6.429448096033475e-30
270,04:30,60,60,2511,-0.0005204702553776791,-9.287503618269616,1.5794932099732518e-20,-0.17009421480116557,-13.998982369327617,1.5811859132005556e-44,2023-07-13 00:00:00+00:00,1757,-0.000466432035490546,-7.143901340219716,754,-0.0006463922080854946,-5.984504960076875,2.136264566488823e-18,1.5553119618936377e-42
1200,20:00,30,15,2464,-0.0003019528032351112,-9.26365677274099,1.9754806570110828e-20,-0.14200531879506637,-12.116062031391147,8.683203040280952e-34,2023-07-03 00:00:00+00:00,1724,-0.0003687965680446578,-9.710140439397277,740,-0.00014622489711124854,-2.338977152221842,2.3749667454288794e-18,3.9146773706599957e-32
1200,20:00,30,30,2464,-0.0003610592988092438,-9.098936598470877,9.122057500191646e-20,-0.15429783634497085,-13.143198303659098,1.8618760717760834e-39,2023-07-03 00:00:00+00:00,1724,-0.0003909089592215058,-8.79958768564199,740,-0.0002915176575244604,-3.549374648054641,9.87006621520736e-18,1.1191943942565124e-37
1260,21:00,60,120,2459,-0.0005023552014665245,-9.071820302787327,1.17045015134643e-19,-0.21619324238445115,-17.094429137023692,1.6328713210232651e-65,2023-07-03 00:00:00+00:00,1721,-0.0005362868850066354,-8.919703993735576,738,-0.00042322725109724145,-3.52805132263503,1.151297330688034e-17,5.889222564490576e-63
